"date","Open","High","Low","Close","Volume","Adjusted"
2016-12-30,179,179.479996,178.289993,178.570007,1594200,157.22554
2017-01-03,178.830002,180,177.220001,178.050003,2509300,156.767715
2017-01-04,178.029999,178.899994,177.610001,178.320007,1542000,157.005417
2017-01-05,178.259995,179.139999,176.889999,177.710007,1447800,156.468323
2017-01-06,177.289993,178.600006,175.800003,178.229996,1625000,156.926178
2017-01-09,178.369995,178.380005,177.199997,177.270004,1622600,156.080948
2017-01-10,177.360001,177.490005,176.309998,176.580002,2030100,155.473434
2017-01-11,176.630005,178.449997,176.389999,177.889999,1579600,156.626785
2017-01-12,176.970001,177.699997,175.75,177.440002,1321800,156.230621
2017-01-13,177.580002,177.910004,176.830002,177.389999,1265500,156.1866
2017-01-17,177,177.679993,176.25,177.259995,1557500,156.072159
2017-01-18,177.899994,179.440002,177.380005,178.490005,1804600,157.155136
2017-01-19,179.25,179.800003,177.759995,178.679993,1464400,157.322403
2017-01-20,179.199997,179.460007,177.830002,178.490005,1761900,157.155136
2017-01-23,177.910004,178.990005,177.130005,178.509995,1986800,157.172714
2017-01-24,177.5,177.759995,174.419998,175.970001,3473200,154.93634
2017-01-25,177.089996,178.630005,176.570007,176.729996,3462600,155.605499
2017-01-26,176.309998,177.229996,176.039993,176.820007,2235900,155.684723
2017-01-27,177.479996,177.979996,176.830002,177.479996,1623700,156.265823
2017-01-30,177.25,177.729996,174.869995,175.419998,1823100,154.452057
2017-01-31,174.740005,175.460007,173.809998,174.820007,1845500,153.923782
2017-02-01,175.169998,175.800003,174.300003,175.169998,2272900,154.231918
2017-02-02,174.130005,174.779999,173.550003,174.179993,3106800,153.360291
2017-02-03,174.020004,175.300003,173.850006,175.039993,2820500,154.117462
2017-02-06,174.119995,176.199997,173.899994,175.100006,1622800,154.170303
2017-02-07,176.080002,176.399994,175.149994,175.759995,1247400,154.751419
2017-02-08,175.619995,177.600006,175.490005,177.070007,2145700,155.904831
2017-02-09,176.869995,178.550003,176.869995,178.179993,2009700,156.882156
2017-02-10,178.300003,179.580002,178.190002,179,1392400,157.604141
2017-02-13,179.860001,181.380005,179.259995,181.020004,1929800,159.382706
2017-02-14,180.860001,182,180.649994,181.600006,2035900,159.893387
2017-02-15,180.300003,181.830002,180.149994,181.699997,1762900,161.023285
2017-02-16,181.75,183.460007,181.619995,183.410004,2164000,162.538666
2017-02-17,183.429993,183.600006,182.529999,182.949997,1961500,162.130997
2017-02-21,182.789993,183.619995,182.039993,183.369995,1736300,162.50322
